Date,Close,High,Low,Open,Volume
2020-01-01,1986.1260986328125,2001.0612647307773,1973.6646169562616,1986.4925206876394,1354908
2020-01-02,1977.0081787109375,1997.4412336152418,1969.265670272308,1997.4412336152418,2380752
2020-01-03,2016.4083251953125,2036.8872405080087,1982.8268054248,1982.8268054248,4655761
2020-01-06,2016.224609375,2039.5897068232205,2004.7252715769976,2020.3937205225805,3023209
2020-01-07,2021.1729736328125,2029.2360452923601,2000.968988418204,2016.2707942868099,2429317
2020-01-08,2066.4365234375,2070.7888451252634,2017.6905652747002,2020.3935413722147,5197454
2020-01-09,2028.9610595703125,2063.412991407784,2024.9751592561745,2060.480945419603,3734173
2020-01-10,2028.2281494140625,2046.9659984375796,2023.142759422639,2041.4683278956702,1915807
2020-01-13,2006.9705810546875,2033.1760103555794,2001.7934736210748,2032.1682382867714,2843893
2020-01-14,2022.135009765625,2043.1179224412915,2011.2313846775394,2011.2313846775394,2948452
2020-01-15,2040.4603271484375,2044.2171581565162,2010.4980675086226,2027.7241465712104,2620681
2020-01-16,2051.36376953125,2060.709762844018,2029.55630266763,2040.5057829012414,3117214
2020-01-17,2033.313720703125,2064.8794704722804,2027.7243323401653,2053.151060863636,3281059
2020-01-20,1988.6458740234375,2054.4803745942604,1975.6803941898534,2011.1403406316588,5817599
2020-01-21,1989.2862548828125,2003.4885700101522,1977.3746357437533,1988.2782591676569,1902980
2020-01-22,2022.135009765625,2024.9755627049485,1991.7146071384554,1998.403485185291,1773686
2020-01-23,2012.079345703125,2036.691420790492,2005.4212405060869,2029.390508898953,2069866
2020-01-24,2005.145751953125,2012.0794100148032,1992.839826120521,2012.0794100148032,1319430
2020-01-27,1992.150634765625,2014.3748818963604,1988.2476082828528,2010.9310349997966,1549101
2020-01-28,2005.4674072265625,2009.1868077634742,1976.3094952955066,1996.5134027752933,1743024
2020-01-29,1978.69677734375,2008.4055622679407,1974.4722354355836,2006.6148067101162,2306761
2020-01-30,1963.314208984375,1988.247570356372,1951.5132041604113,1983.6557745818768,2098567
2020-01-31,1909.31494140625,1969.283848346404,1902.4732094848728,1964.7377904588786,3287223
2020-02-03,1930.8507080078125,2015.5234028941386,1922.309920438589,1976.3094999442628,4728073
2020-02-04,1935.671875,1962.2583327231748,1916.2486648821998,1955.1870107341954,3509339
2020-02-05,1971.3040771484375,1980.625333777798,1932.5033991465475,1942.3297982011243,2439322
2020-02-06,1954.5897216796875,1996.6963527836808,1942.7887173105544,1969.8803113359202,2640065
2020-02-07,1962.120361328125,1975.3906067080936,1946.0031127914692,1964.3702964893594,2083442
2020-02-10,1985.4466552734375,1990.0844141398413,1946.0031719253916,1966.1151490022173,2383032
2020-02-11,1977.5948486328125,1997.2478723937154,1972.2685440014282,1986.4111876930626,1335820
2020-02-12,1993.5283203125,2006.6149394830416,1974.4723660817115,1975.4826509292727,1620407
2020-02-13,2012.997314453125,2017.6350730495008,1993.7577349069031,1995.5484904258421,1645948
2020-02-14,2005.880126953125,2031.4105576459488,1993.7578303116431,2009.369936767331,1500115
2020-02-17,2023.374755859375,2036.0021939136432,2011.3901243552061,2017.5890484909378,1774724
2020-02-18,2034.854248046875,2039.6756334929976,2007.5790266505649,2020.3441289101231,2486223
2020-02-19,2017.0386962890625,2047.941399472002,2011.6662042795608,2034.8547784215646,1760463
2020-02-20,1980.716796875,2033.6141423743784,1975.619859426711,2024.5224776786447,2317278
2020-02-24,1942.6512451171875,2001.0587563647546,1934.7073034231219,1979.9824573309354,3092877
2020-02-25,1980.1197509765625,1998.9461112638946,1938.6559300760111,1942.78854574884,2674567
2020-02-26,1950.2279052734375,1987.2376058123352,1940.4472441725075,1978.1459383973772,2686842
2020-02-27,1933.6051025390625,1946.8753468123361,1915.8807269069962,1946.8753468123361,2349001
2020-02-28,1836.856201171875,1900.5443901333329,1827.534832744785,1899.166851314681,4298076
2020-03-02,1837.912353515625,1886.2638768095114,1823.5858599869505,1868.861014416288,2667076
2020-03-03,1869.962890625,1891.8198836369306,1847.7386436298564,1855.0855169643687,2757585
2020-03-04,1913.1259765625,1923.457518296754,1859.6775121657204,1888.146649388998,3237002
