Date,Close,MA50,MA200,RSI,MACD,MACD_Signal,BB_High,BB_Low,BB_Mid,VWAP,Return,Volatility,ATR,Stoch_K,Stoch_D,OBV,Hammer,Bullish_Engulfing,Bearish_Engulfing,Doji,Morning_Star,Evening_Star,Shooting_Star,Piercing_Line,Dark_Cloud_Cover
2020-11-02,2432.263916015625,2344.86208984375,2006.2345751953126,25.567265624524623,26.498176381199755,51.33899597536429,2666.493989605964,2405.5710738705984,2536.0325317382812,2027.665036415744,-0.022609413450059068,0.23073371396749756,55.59313437967285,1.8805675388259222,13.95851017836106,115345110.0,0,0,0,0,0,0,0,0,0
2020-11-03,2459.345947265625,2352.240205078125,2008.3290032958985,30.60401532093698,22.538979554500656,45.578992691191566,2667.6490743053546,2397.9561014758956,2532.802587890625,2029.0822757720027,0.011134495344717443,0.2346199750234716,56.22680773898475,14.734684120523843,14.417022285881805,118224379.0,0,0,0,0,0,0,0,1,0
2020-11-04,2477.602294921875,2360.0848095703127,2010.4601959228517,39.183744476981815,20.636537072491592,40.590501567451575,2666.416030273799,2392.541684569951,2529.478857421875,2031.5712521772446,0.007423253193211021,0.23434132665706103,56.96721251123092,30.526404569546276,15.713885409632018,123118307.0,0,0,0,0,0,0,0,0,0
2020-11-05,2507.99853515625,2368.3355419921877,2012.8336199951173,40.63030523425579,21.335616547477002,36.73952456345666,2652.6315600652947,2394.3727368097057,2523.5021484375,2033.08796469824,0.012268409783392498,0.20419551576980538,58.067811371286716,49.238587704204576,31.4998921314249,125934809.0,0,0,0,1,0,0,0,0,0
2020-11-06,2528.31005859375,2377.0873681640624,2015.5319409179688,49.46640411711816,23.260479925485924,34.04371563586252,2640.831224148221,2397.436402804904,2519.1338134765624,2035.2527770369895,0.008098698285816441,0.20722350643274393,55.703214028896774,67.1886843740766,48.98455888260916,129819230.0,0,0,0,0,0,0,0,0,0
2020-11-09,2546.192138671875,2386.3800146484373,2018.316470336914,48.35018282603978,25.92997779283087,32.42096806725619,2625.4476832291643,2404.2860325911483,2514.8668579101563,2037.340976093055,0.007072740155956492,0.20775088996299992,55.739897213485165,84.96105480335046,67.12944229387722,133465822.0,0,0,0,1,0,0,1,0,0
2020-11-10,2474.286865234375,2393.8867822265624,2020.5772296142577,46.685439336221336,21.98993319482088,30.33476109276913,2605.2214339848147,2409.1086197261225,2507.1650268554686,2039.659657324241,-0.028240317117233182,0.2282813254851817,55.89331783313657,34.4219094943637,62.1905495572636,128705802.0,0,0,0,0,0,1,0,0,0
2020-11-11,2509.958740234375,2402.30970703125,2023.066626586914,51.96729404161645,21.498025795299327,28.56741403327517,2582.8502568210483,2420.1056025539515,2501.4779296875,2041.3535418309555,0.014417032843368816,0.23644407237878726,55.95003656768826,60.958382255029036,60.113782184247746,131948243.0,0,0,0,0,0,0,0,0,0
2020-11-12,2494.318115234375,2410.0701904296875,2025.5124884033203,48.143825342968036,19.61995132792117,26.77792149220437,2574.943020452524,2421.5180635318516,2498.2305419921877,2042.5766729926218,-0.0062314271343518746,0.2218627400030845,57.240735783941126,49.32324899465847,48.234513581350406,129510738.0,0,0,0,0,0,0,0,0,0
2020-11-13,2481.05712890625,2416.926630859375,2027.9570208740233,46.41346071594997,16.867079815020134,24.795753156767525,2559.737414064105,2426.7829716780825,2493.2601928710938,2043.8109271507035,-0.005316477576429279,0.21939864851846289,56.94729352796863,39.458339945839356,49.9133237318423,126962645.0,0,0,0,1,0,0,0,0,0
