Date,Close,MA50,MA200,RSI,MACD,MACD_Signal,BB_High,BB_Low,BB_Mid,VWAP,Return,Volatility,ATR,Stoch_K,Stoch_D,OBV,Hammer,Bullish_Engulfing,Bearish_Engulfing,Doji,Morning_Star,Evening_Star,Shooting_Star,Piercing_Line,Dark_Cloud_Cover
2020-10-19,990.6980590820312,994.4147216796875,761.6752351379395,43.3438490303024,3.023334608624168,8.101813638578358,1041.5019665686755,985.1498889000745,1013.325927734375,760.1052763960125,0.00018381113753762612,0.23091685362882616,24.345691838295263,13.682103887687893,14.552098113225602,1004481678.0,0,0,0,0,0,0,1,0,0
2020-10-20,981.456787109375,994.7429541015625,763.192411956787,34.75287141517373,0.38773932404581046,6.558998775671849,1041.82082011585,980.2808888685248,1011.0508544921875,760.6162275533168,-0.009328040857593978,0.22155111384823414,24.11807412256008,2.3285983703406403,6.106982856958478,985999390.0,0,0,0,0,0,0,0,0,0
2020-10-21,967.2075805664062,994.6591882324219,764.5806282043457,32.465211805173254,-2.8182932792543625,4.683540364686607,1045.5633313014812,972.598253171175,1009.0807922363281,761.491892045364,-0.01451842478458587,0.21670070236626976,25.817109836748298,12.71007514888165,9.573592468970055,951917069.0,0,0,0,0,0,0,0,0,0
2020-10-22,959.1725463867188,994.4711730957031,765.92451461792,31.601852736088517,-5.9389962701995955,2.5590330377093666,1048.841944936655,963.6814620457669,1006.2617034912109,762.2462578789965,-0.008307455753171489,0.21392047938625142,25.54721657342677,7.31648946887166,7.451720996031312,921114859.0,0,0,0,0,0,0,0,0,0
2020-10-23,961.9495849609375,994.3892297363282,767.3623454284668,34.23939242949349,-8.094780479176961,0.42827033433210104,1051.391913984895,958.0290149701832,1004.7104644775391,762.824073344823,0.0028952440149376812,0.20184362988418972,25.399265062843767,10.11471506332006,10.047093227024453,944536984.0,0,0,0,0,0,0,0,0,0
2020-10-26,923.7319946289062,993.6180480957031,768.557212677002,27.152407867664877,-12.740233655384714,-2.205430463611262,1059.8874018128047,941.6760503356329,1000.7817260742188,763.5625728289881,-0.03972930695072052,0.23861584549730125,27.425094544264418,3.6488872490525943,7.0266972604147675,907212568.0,0,0,0,0,0,0,0,0,0
2020-10-27,926.1903686523438,993.100439453125,769.7900852966309,18.58271482371768,-16.038536265582252,-4.97205162400546,1064.3114003128728,928.9780345015803,996.6447174072266,764.2888000002013,0.0026613498695853277,0.23669967242169557,26.00083292899937,9.86624371210294,7.87661534149186,943691464.0,0,0,0,1,0,0,1,0,0
2020-10-28,915.6969604492188,992.1253088378907,770.8922282409668,18.334743504206287,-19.276982141449707,-7.833037727494309,1066.848534273417,915.8064400918174,991.3274871826172,764.8414080713156,-0.011329645133746569,0.22893520711626575,26.14390757765548,2.157148041142351,5.224093000765957,913767447.0,0,0,0,0,0,0,0,0,0
2020-10-29,922.7303466796875,991.1724853515625,772.0303242492676,22.038684291244763,-21.033477505679343,-10.473125683131316,1066.9770399167214,906.2339158938255,986.6054779052735,765.4295533136558,0.007680910316681944,0.23359294240239792,26.634917353235632,11.469627990064653,7.83100658110331,944422751.0,0,0,0,0,0,0,0,1,0
2020-10-30,935.2951049804688,990.7850732421875,773.2401142883301,26.7954588370189,-21.16763443650143,-12.61202743380534,1065.2008010697239,900.2368942427761,982.71884765625,766.1289041739793,0.013616934076129406,0.24254743480465668,27.08366573617223,20.287573813923466,11.304783281710153,978444314.0,0,0,0,0,0,0,0,0,0
2020-11-02,854.6944580078125,988.9240417480469,774.0790147399903,11.722738911541768,-27.461197779705117,-15.581861502985294,1074.5194605076615,875.6789953028855,975.0992279052734,767.1812317515836,-0.0861767013891721,0.3799277863172317,31.488128205901937,4.113741737665509,11.956981180551205,879077419.0,0,0,0,0,0,0,0,0,0
2020-11-03,842.3802490234375,986.6901684570313,774.8688075256348,10.045731490609327,-33.06143418946192,-19.077776040280618,1081.3865585742851,852.4254592479806,966.9060089111329,767.9703780855076,-0.014407732341072954,0.3796411989917871,32.73678605906961,3.3633632440775076,9.254892931888824,790385796.0,0,0,0,0,0,0,0,0,0
2020-11-04,870.9693603515625,985.1523596191406,775.7699943542481,22.267391756861358,-34.7917024479741,-22.220561321819318,1077.4181406698153,840.7198781290128,959.0690093994141,768.9383475542019,0.03393848723455717,0.39513066918586026,32.63923698393739,19.65268619979177,9.043263727178259,870565913.0,0,1,0,0,0,0,0,1,0
2020-11-05,889.99853515625,983.4925463867188,776.669536895752,29.551774471274257,-34.23284223933513,-24.62301750532248,1071.2087950291593,833.9889710841218,952.5988830566406,769.4639765140683,0.021848271214737647,0.40902234758000816,32.245782987487004,30.462372372295217,17.82614060538816,907771286.0,0,0,0,1,0,0,0,0,0
2020-11-06,923.7546997070312,982.7509558105469,777.8471131896972,38.0184154594776,-30.71207148789665,-25.840828301837313,1063.2123302682442,832.6848377005058,947.948583984375,770.6552268761526,0.03792833720209998,0.43831731517868877,32.618103185624065,54.21897377714465,34.77801078307721,974445372.0,0,0,0,0,0,0,0,0,0
2020-11-09,933.565185546875,982.1550415039062,779.0702613830566,41.445746617680726,-26.821034889284647,-26.036869619326783,1054.1994602092648,833.2142665973757,943.7068634033203,771.328521448204,0.01062022833870846,0.4411170743465768,32.588835369954396,60.40904797854176,48.3634647093272,1010283882.0,0,0,0,0,0,0,0,0,0
2020-11-10,948.97509765625,982.1900939941406,780.3716944885253,46.75681655772494,-22.237568384333258,-25.27700937232808,1040.474034971507,838.0100897843522,939.2420623779296,772.0819597786007,0.016506519681695364,0.4391198857873974,31.11092040835511,83.17767933829653,65.9352336979943,1047218124.0,0,0,0,0,0,0,0,0,0
2020-11-11,909.209716796875,981.3702026367188,781.4888972473144,42.014115639920654,-21.565280924685226,-24.53466368279951,1022.4021875488086,842.8662633789259,932.6342254638672,772.969402101715,-0.04190350300823098,0.458000214904908,33.56272706147405,54.051301356673946,65.87934289117074,990493344.0,0,0,1,0,0,0,0,0,1
2020-11-12,901.3795776367188,980.0208654785156,782.5788520812988,40.47260123651433,-21.417428279051023,-23.911216602049812,1011.5319593567134,843.4252611022711,927.4786102294922,773.5534205087016,-0.008612027583406845,0.4451523195437365,33.72044077692711,54.300132027699206,63.84303757422322,950446817.0,0,0,0,1,0,0,1,0,0
2020-11-13,908.8455200195312,978.9674328613281,783.7398222351075,47.40763132117056,-20.461942303597084,-23.221361742359267,1002.3335216805823,844.4566516592614,923.3950866699219,774.247244304886,0.008282795137634524,0.44624026483629853,32.48803254338532,62.06227961564286,56.80457100000533,995835487.0,0,0,0,0,0,0,0,0,0
2020-11-14,911.531494140625,978.2850244140625,784.9923722839355,47.44928812526803,-19.26589191084838,-22.430267776057093,991.8336920030771,847.039824842626,919.4367584228515,774.3282622691489,0.0029553692700559075,0.4466855170469251,31.353180142242,64.33242356552053,60.23161173628753,1001061707.0,0,0,0,0,0,0,0,0,0
2020-11-17,907.4114990234375,977.4710485839844,786.2061320495606,48.525588905308766,-18.437921647691496,-21.631798550383976,982.0990987763106,849.3698892607987,915.7344940185546,775.0240392540978,-0.004519860414775589,0.4462176786547625,32.96929297704336,60.85026716075213,62.41499011397184,954519145.0,0,0,0,0,0,0,0,0,0
